"alert.close.button": "Close"
"infostand.button.cfh.sexual": "Sexual language"
"infostand.button.compost": "Compost"
"infostand.button.dismount": "Dismount"
"infostand.button.eject": "Eject"
"infostand.button.extend": "Extend"
"infostand.button.fertilize_monsterplant": "Fertilize"
"infostand.button.friend": "Ask to be a Friend"
"infostand.button.givebadge": "Give Badge"
"infostand.button.giverights": "Give rights"
"infostand.button.harvest": "Harvest"
"infostand.button.ignore": "Ignore"
"infostand.button.kick": "Kick"
"infostand.button.mount": "Ride"
"infostand.button.move": "Move"
"infostand.button.mute": "Mute"
"infostand.button.mute_10min": "Mute for 10 mins"
"infostand.button.mute_15min": "Mute for 15 mins"
"infostand.button.mute_18hour": "Mute for 18 hours"
"infostand.button.mute_2min": "Mute for 2 mins"
"infostand.button.mute_36hour": "Mute for 36 hours"
"infostand.button.mute_5min": "Mute for 5 mins"
"infostand.button.mute_60min": "Mute for 60 mins"
"infostand.button.mute_72hour": "Mute for 72 hours"
"infostand.button.perm_ban": "Ban permanently"
"infostand.button.petkick": "Kick"
"infostand.button.petrespect": "Scratch (%count%)"
"infostand.button.pettreat": "Treat"
"infostand.button.pickup": "Pick up"
"infostand.button.rebreed_monsterplant": "Use"
"infostand.button.remove_riding_permission": "Allow only owner to ride"
"infostand.button.removerights": "Remove rights"
"infostand.button.rent": "Rent one"
"infostand.button.replaceproduct_saddle": "Replace Saddle"
"infostand.button.report": "Report"
"infostand.button.respect": "Give respect (%count%)"
"infostand.button.revive": "Revive"
"infostand.button.revive_monsterplant": "Revive"
"infostand.button.rotate": "Rotate"
"infostand.button.saddleoff": "Remove Saddle"
"infostand.button.toggle_breeding_permission": "Breedable"
"infostand.button.toggle_riding_permission": "Anyone can ride"
"infostand.button.trade.tooltip.rights": "You don't have trading enabled!"
"infostand.button.trade.tooltip.shutdown": "Trading is disabled."
"infostand.button.trade.tooltip.tradingroom": "This room is not a trading room."
"infostand.button.trade": "Trade"
"infostand.button.train": "Train"
"infostand.button.unignore": "Listen"
"infostand.button.unmute": "Unmute"
"infostand.button.use": "Use"
"infostand.button.useproduct": "Use item"
"infostand.button.useproduct_custom_part": "Use item"
"infostand.button.useproduct_custom_part_shampoo": "Use Hair Shampoo"
"infostand.button.useproduct_saddle": "Use Saddle"
"infostand.button.useproduct_shampoo": "Use Shampoo"
"infostand.button.whisper": "Whisper"
"infostand.crackable_furni.hits_remaining": "Hits: %hits% / %target%"
"infostand.group.link.tooltip": "Click here to open Group Info"
"infostand.jukebox.text.creator": "-"
"infostand.jukebox.text.not.playing": "Not playing any song"
"infostand.jukebox.text.now.playing": "Now Playing"
"infostand.jukebox.text.track.name": "-"
"infostand.link.actions": "Actions"
"infostand.link.ambassador": "Ambassador"
"infostand.link.expressions": "Actions"
"infostand.link.moderate": "Moderate"
"infostand.link.more": "More actions"
"infostand.link.relationship": "Relationship"
"infostand.motto.change": "Update your motto..."
"infostand.pet.raritylevel.0": "Abundant"
"infostand.pet.raritylevel.10": "Mythic"
"infostand.pet.raritylevel.1": "Very common"
"infostand.pet.raritylevel.2": "Common"
"infostand.pet.raritylevel.3": "Plentiful"
"infostand.pet.raritylevel.4": "Sporadic"
"infostand.pet.raritylevel.5": "Infrequent"
"infostand.pet.raritylevel.6": "Not too common"
"infostand.pet.raritylevel.7": "Uncommon"
"infostand.pet.raritylevel.8": "Scarce"
"infostand.pet.raritylevel.9": "Legendary"
"infostand.pet.text.energy": "Energy"
"infostand.pet.text.experience": "Experience"
"infostand.pet.text.growth": "Time until grown-up"
"infostand.pet.text.happiness": "Happiness"
"infostand.pet.text.level": "Level"
"infostand.pet.text.nutrition": "Nutrition"
"infostand.pet.text.raritylevel": "Rarity level: %level%"
"infostand.pet.text.skill.15": "Jump Skill"
"infostand.pet.text.skill.next.15": "Next Jump Skill"
"infostand.pet.text.wellbeing": "Remaining Wellbeing"
"infostand.profile.link.tooltip": "Click to view profile"
"infostand.relstatus.bobba.others": "and %amount% others"
"infostand.relstatus.heart.others": "and %amount% others"
"infostand.relstatus.smile.others": "and %amount% others"
"infostand.rent.expiration": "Rental time remaining: %TIME%"
"infostand.show.signs": "Signs"
"infostand.text.achievement_score": "Achievement score:"
"infostand.text.botowner": "Owner: %name%"
"infostand.text.handitem": "Carrying: %item%"
"infostand.text.petowner": "Owner: %name%"
"infostand.text.petrespect": "Been scratched: %count%"
"infostand.text.realname": "(%realname%)"
"infostand.text.xp": "Monthly XP: %xp%"
"infostand.title.givebadge": "Select Badge"
"memenu.looks": "Looks"
"memenu.settings.chat.prefer.old.chat": "Prefer old chat"
"memenu.settings.other.disable.room.camera.follow": "Don't focus on own avatar"
"memenu.settings.other.ignore.room.invites": "Ignore Room Invites"
"memenu.settings.reset.phone.number.collection": "Verify account with SMS"
"messenger.conversation_with": "Chatting with:"
"messenger.error.busy": "Your friend is busy."
"messenger.error.not_group_admin": "Message sending failed, you are not a group admin."
"messenger.error.not_group_member": "Message sending failed, you are not a group member."
"messenger.error.notfriend": "Receiver is not your friend anymore."
"messenger.error.offline": "Your friend is not online."
"messenger.error.offline_failed": "Message sent failed"
"messenger.error.receiverhasnochat": "Your friend has yet to take the Safety Quiz, so they cannot chat."
"messenger.error.receivermuted": "Your friend is muted and cannot reply."
"messenger.error.recipient_im_unavailable": "Your friend is unavailable."
"messenger.error.sender_im_unavailable": "Messenger becomes available for new Habbos three days after they've registered."
"messenger.error.senderhasnocha": "You need to take the Safety Quiz in order to be able to use the IM."
"messenger.error.senderhasnochat": "You need to take the Safety Quiz in order to be able to use the IM."
"messenger.error.sendermuted": "Your message was not sent because you are muted."
"messenger.followfriend.tooltip": "Go to room your friend is currently in"
"messenger.info": "Choose a friend from Your online friend list and send an instant message or an invite."
"messenger.invitation": "Your friend sent you an invitation:"
"messenger.message_prompt": "Type message"
"messenger.minimail.tooltip": "Send minimail to your friend"
"messenger.moderationinfo": "Sharing your password or personal details online is dangerous. We may monitor these conversations for your safety."
"messenger.notification.offline": "Your friend went offline."
"messenger.notification.online": "Your friend came online."
"messenger.notification.persisted_message_sent": "Offline message sent."
"messenger.notification.persisted_messages": "Your friend is not online."
"messenger.search_friends": "Search friends"
"messenger.title": "Chat"
"messenger.window.button.report.tooltip": "Report this user to the moderators"
"messenger.window.button.report": "Report"
"messenger.window.input.default": "Click here to type to %FRIEND_NAME%"
"messenger.window.separator": "You + %FRIEND_NAME%"
"messenger.window.title": "Your open chats (%OPEN_CHAT_COUNT%)"
"navigator.adcaption": "Popular Rooms"
"navigator.alert.cannot_perm_ban": "Cannot ban group member!"
"navigator.alert.invalid_room_name": "Room name is unacceptable!"
"navigator.alllatestevents": "Show all"
"navigator.back": "back"
"navigator.banned.text": "Sorry, but the owner of this room has banned you. You cannot enter this room."
"navigator.banned.title": "You are banned from this room."
"navigator.cannonaddfavourite.exists": "This room is already in your favorites."
"navigator.cannonaddfavourite.full": "Your favorite list is full."
"navigator.cannotcreateevent.error.1": "You must be in a room to start an event."
"navigator.cannotcreateevent.error.2": "Only room owner can create events."
"navigator.cannotcreateevent.error.3": "The door of the room must be open to create an event. You can change the door mode in room settings."
"navigator.cannotcreateevent.error.4": "Room event feature is currently disabled."
"navigator.cannotcreateevent.error.5": "Room already has an event."
"navigator.cannotcreateevent.error.6": "You already have an ongoing event in some other room."
"navigator.cannotcreateevent.title": "Cannot Create Event."
"navigator.categories.viewmore": "View more rooms"
"navigator.category": "Category"
"navigator.clearsearchresults": "Clear results"
"navigator.create.room": "Create Room"
"navigator.create": "Create"
"navigator.createevent": "Create event"
"navigator.createroom.chooselayout": "Choose"
"navigator.createroom.chooselayoutcaption": "Choose room layout"
"navigator.createroom.club_room_type": "This room is available only for Habbo Club members. Join today!"
"navigator.createroom.create": "Create room"
"navigator.createroom.error": "Cannot create room"
"navigator.createroom.floor_size": "%size% tiles"
"navigator.createroom.hcpromo.link": "Click here to read more >>"
"navigator.createroom.hcpromo.text": "Join the Habbo Club with 15 Credits and get more room layouts."
"navigator.createroom.limitreached": "You are not allowed to own more than %limit% rooms."
"navigator.createroom.nameerr": "Room name is mandatory!"
"navigator.createroom.roomdescinfo": "Room Description"
"navigator.createroom.roomnameinfo": "Room name"
"navigator.createroom.tilesize": "tiles"
"navigator.createroom.title": "Room creation"
"navigator.createroom.vippromo.link": "More about HC membership >>"
"navigator.createroom.vippromo.text": "Become a HC and get even more room layouts!"
"navigator.createroom.vippromo": "HC members can have more rooms! >>"
"navigator.createroom": "Create room"
"navigator.delete.homeroom.body": "You cannot delete your home room."
"navigator.delete.homeroom.title": "Alert!"
"navigator.door.mode.closed": "Doorbell"
"navigator.door.mode.invisible": "Invisible"
"navigator.door.mode.noobs_only": "Only for new users"
"navigator.door.mode.open": "Open"
"navigator.door.mode.password": "Password"
"navigator.doorbell.button.cancel.entering": "Cancel entering the room"
"navigator.doorbell.button.ring": "Ring doorbell"
"navigator.doorbell.info": "This room is locked. You need to ring the doorbell to enter."
"navigator.doorbell.no.answer": "No answer."
"navigator.doorbell.title": "Doorbell"
"navigator.doorbell.waiting": "The doorbell is ringing, waiting for someone to open the door..."
"navigator.editroom": "Edit Room"
"navigator.embed.caption": "Link to this room"
"navigator.embed.copytoclipboard": "Copy to clipboard"
"navigator.embed.direct.info": "Copy and paste this URL to let your friends enter the room directly:"
"navigator.embed.headline": "Share your room!"
"navigator.embed.info": "Copy this link to an IM or a forum! Anyone clicking on the link will enter this room directly."
"navigator.embed.src": "${url.prefix}/room/%roomId%"
"navigator.embed.title": "More friends, more fun!"
"navigator.error.nosuchflat.message": "The room probably does not exist anymore."
"navigator.error.nosuchflat.title": "Could not enter the room."
"navigator.eventinprogress": "Event In Progress"
"navigator.eventsettings.desc": "Event description"
"navigator.eventsettings.descerr": "Event description is mandatory"
"navigator.eventsettings.edit": "Save"
"navigator.eventsettings.editcaption": "Edit Promo"
"navigator.eventsettings.end": "End"
"navigator.eventsettings.name": "Event name"
"navigator.eventsettings.nameerr": "You must choose a name for your event"
"navigator.eventstartedat": "Started at:"
"navigator.favourite.tooltip": "This room is in your favorites list. Click here to remove the room from the list."
"navigator.favouritedeleted": "Favorite %room_name% deleted!"
"navigator.favouritesfull.body": "Your favorite list is full. You must remove some of your favorite rooms before adding more."
"navigator.favouritesfull.title": "Cannot add favorite"
"navigator.filter.anything": "Anything"
"navigator.filter.group": "Group"
"navigator.filter.input.placeholder": "filter rooms by..."
"navigator.filter.owner": "Owner"
"navigator.filter.room.name": "Room Name"
"navigator.filter.tag": "Tag"
"navigator.flatcategory.global.BC": "Builders' Club"
"navigator.flatcategory.global.BUILDING": "Building and decoration"
"navigator.flatcategory.global.CHAT": "Chat and discussion"
"navigator.flatcategory.global.FANSITE": "Fansite Square"
"navigator.flatcategory.global.GAMES": "Habbo Games"
"navigator.flatcategory.global.HELP": "Help Centers"
"navigator.flatcategory.global.LIFE": "Habbo Life"
"navigator.flatcategory.global.OFFICIAL": "Public Rooms"
"navigator.flatcategory.global.PARTY": "Party"
"navigator.flatcategory.global.PERSONAL": "Personal Space"
"navigator.flatcategory.global.REVIEWS": "Habbo Reviews"
"navigator.flatcategory.global.TRADING": "Trading"
"navigator.flatctrls.clear": "Clear All"
"navigator.flatctrls.filter": "Filter:"
"navigator.flatctrls.friends": "Friends without rights (%displayed%/%total%)"
"navigator.flatctrls.guild.caption": "No room rights management for Group Homerooms"
"navigator.flatctrls.guild.info": "This room is a group homeroom. In group homerooms room rights are determined by group membership of a user."
"navigator.flatctrls.removeconfirm.info": "Remove rights from ALL users to this room?"
"navigator.flatctrls.removeconfirm.title": "Remove All Rights?"
"navigator.flatctrls.userswithrights": "Users with rights (%displayed%/%total%)"
"navigator.folder.hide": "Hide"
"navigator.folder.show": "Show"
"navigator.frontpage.officialrooms": "Official Habbo Rooms"
"navigator.frontpage.staticsearch.1": "Popular Rooms"
"navigator.frontpage.staticsearch.4": "Where are my friends?"
"navigator.frontpage.staticsearch.5": "My Rooms"
"navigator.frontpage.staticsearch.6": "Favorite Rooms"
"navigator.frontpage.staticsearch.8": "Text Search"
"navigator.frontpage.staticsearch.9": "Tag Search"
"navigator.frontpage": "Front page"
"navigator.guestroomfull.text": "Sorry, the room you tried to enter is full."
"navigator.guestroomfull.title": "Cannot Enter Room!"
"navigator.guildbase": "This room is the homeroom for the %groupName% Group-"
"navigator.homeroom": "Homeroom"
"navigator.hotelview": "Hotel view"
"navigator.info.doorbell": "Room door is locked. Owner may open the door from inside."
"navigator.info.invisible": "Room cannot be seen or entered from navigator without rights."
"navigator.info.password": "Password is required to enter this room."
"navigator.info.tradingallowed": "Trading is allowed in this room."
"navigator.left.pane.hide": "hide"
"navigator.left.pane.show": "show"
"navigator.like.room": "Like this room"
"navigator.loading": "Loading..."
"navigator.makefavourite.tooltip": "Click here to add this room to your favorites list."
"navigator.maxvisitors": "Maximum amount of visitors"
"navigator.moreroomscaption": "Want more rooms?"
"navigator.muteall_off": "Mute all"
"navigator.muteall_on": "Unmute all"
"navigator.navibutton.10": "Front Page"
"navigator.navibutton.11": "Official Rooms"
"navigator.navibutton.12": "Events"
"navigator.navibutton.1": "All rooms"
"navigator.navibutton.2": "Highest Score"
"navigator.navibutton.3": "My Friends' Rooms"
"navigator.navibutton.4": "Where Are They?"
"navigator.navibutton.5": "My Rooms"
"navigator.navibutton.6": "My Favorites"
"navigator.navibutton.7": "Visited rooms"
"navigator.navibutton.9": "By Category"
"navigator.navisel.alllatestevents": "Show all"
"navigator.navisel.bydefault": "Regular"
"navigator.navisel.bygroupname": "Group"
"navigator.navisel.byowner": "Owner"
"navigator.navisel.byroomname": "Room"
"navigator.navisel.bytag": "Tag"
"navigator.navisel.frequentvisits": "Frequently Visited Rooms"
"navigator.navisel.highestscore": "Rooms with highest scores"
"navigator.navisel.mainattractions": "Main attractions"
"navigator.navisel.myfavourites": "My favorite rooms"
"navigator.navisel.myfriendsrooms": "Rooms owned by my friends"
"navigator.navisel.mygroups": "My group membership rooms"
"navigator.navisel.myrooms": "Rooms owned by me"
"navigator.navisel.popularrooms": "Rooms with most visitors"
"navigator.navisel.recommendedrooms": "Recommended Rooms"
"navigator.navisel.roomswithrights": "Rooms where I have rights"
"navigator.navisel.visitedrooms": "Rooms I've recently visited"
"navigator.navisel.wherearemyfriends": "Rooms where my friends are"
"navigator.noroomsfound": "No rooms found"
"navigator.notagsfound": "No popular tags found"
"navigator.ownedbystaff": "Habbo Hotel"
"navigator.password.button.try": "Try password"
"navigator.password.enter": "Enter password"
"navigator.password.info": "This room is locked with a password. Please enter the correct password to access the room."
"navigator.password.retryinfo": "Wrong password. Please retry, or cancel entering the room."
"navigator.password.title": "Password"
"navigator.promote.room": "Promote event"
"navigator.promotedrooms.hidetopten": "Close Top 10"
"navigator.promotedrooms.owner": "by"
"navigator.promotedrooms.viewtopten": "View Top 10"
"navigator.quick.links.title": "Saved Searches"
"navigator.random.room": "Somewhere new"
"navigator.rateroom": "Rate this room"
"navigator.ratingcaption": "Rating:"
"navigator.remove": "Remove"
"navigator.removefavourite": "Remove Favorite"
"navigator.room.info.popup.title": "Room info"
"navigator.room.popup.buy.group.furni": "Buy Group Furni"
"navigator.room.popup.go": "GO"
"navigator.room.popup.group.info.title": "Group Info:"
"navigator.room.popup.info.room.settings": "Room settings"
"navigator.room.popup.join.group": "Show Group Menu"
"navigator.room.popup.report.room": "Report room"
"navigator.room.popup.room.info.favorite": "Favorite"
"navigator.room.popup.room.info.home": "Home Room"
"navigator.room.popup.room.info.title": "Room Info:"
"navigator.roomad.newads": "Newest promotions"
"navigator.roomad.topads": "Top promotions"
"navigator.roomcompetitionspager": "Participants Page %page%/%total%"
"navigator.roomctg": "Category:"
"navigator.roomdesc": "Room Description"
"navigator.roomdetails.users": "Users:"
"navigator.roominfo.addtofavourites": "Add to favorites"
"navigator.roominfo.clearhome.tooltip": "This room is your Homeroom. Click here to remove your Home Room setting."
"navigator.roominfo.clearhome": "Remove home"
"navigator.roominfo.editevent": "Edit Promo"
"navigator.roominfo.gotoroom": "Let's go"
"navigator.roominfo.group": "Group home for: %name%"
"navigator.roominfo.makehome.tooltip": "Set this room as your Homeroom. You automatically enter your Home Room when you enter Habbo."
"navigator.roominfo.makehome": "Make Homeroom"
"navigator.roominfo.nogroup": "Not a group room"
"navigator.roominfo.removefromfavourites": "Remove from favorites"
"navigator.roominfo.removerights.tooltip": "Remove my rights from this room"
"navigator.roominfo.sethomeroom": "Home"
"navigator.roomname": "Room name"
"navigator.roomownercaption.withname": "Owner: %name%"
"navigator.roomownercaption": "Owner:"
"navigator.roompopup.groupproperty.created": "Created"
"navigator.roompopup.groupproperty.members": "Members"
"navigator.roompopup.property.door": "Door"
"navigator.roompopup.property.max_users": "Max Users"
"navigator.roompopup.property.ranking": "Ranking"
"navigator.roompopup.property.trading": "Trading"
"navigator.roomranking": "Top rated rooms rank:"
"navigator.roomrating": "Rating:"
"navigator.roomsettings.advanced_settings": "Advanced Settings"
"navigator.roomsettings.advancedcaption": "Advanced room settings"
"navigator.roomsettings.allow_dynamic_categories": "Enlist room in navigator top lists by furniture content"
"navigator.roomsettings.allow_walk_through": "Room blocking not allowed"
"navigator.roomsettings.allowfoodconsume": "Allow others' pets to eat food"
"navigator.roomsettings.allowpets": "Allow pets"
"navigator.roomsettings.ban_room_user": "Ban user in room"
"navigator.roomsettings.basiccaption": "Basic room settings"
"navigator.roomsettings.chat.bubbles.width.normal": "Normal bubbles"
"navigator.roomsettings.chat.bubbles.width.thin": "Thin bubbles"
"navigator.roomsettings.chat.bubbles.width.wide": "Wide bubbles"
"navigator.roomsettings.chat.flood.loose": "Minimal anti-flood protection"
"navigator.roomsettings.chat.flood.normal": "Standard anti-flood protection"
"navigator.roomsettings.chat.flood.strict": "Extra anti-flood protection"
"navigator.roomsettings.chat.mode.free.flow": "Free Flow Mode (bubbles can pass)"
"navigator.roomsettings.chat.mode.line.by.line": "Line-by-Line Mode (old)"
"navigator.roomsettings.chat.speed.fast": "Fast scrolling up"
"navigator.roomsettings.chat.speed.normal": "Normal scrolling up"
"navigator.roomsettings.chat.speed.slow": "Slow scrolling up"
"navigator.roomsettings.chat_settings.hearing.distance": "Maximum chat hearing distance"
"navigator.roomsettings.chat_settings.info": "Control how the chat bubbles behave in this room"
"navigator.roomsettings.chat_settings": "Chat Settings"
"navigator.roomsettings.current_style": "You currently have this style in your room."
"navigator.roomsettings.delete": "Delete this room"
"navigator.roomsettings.deleteroom.confirm.message": "Are you sure you want to delete %room_name%? All the furniture (excluding wallpaper, floor, landscapes and stickie notes) will moved to \"
"navigator.roomsettings.deleteroom.confirm.title": "Confirm room deletion"
"navigator.roomsettings.desc": "Add a description"
"navigator.roomsettings.doormode.doorbell": "Visitors have to ring the doorbell"
"navigator.roomsettings.doormode.invisible": "Invisible in navigator to users without rights"
"navigator.roomsettings.doormode.open": "Open - anyone can enter"
"navigator.roomsettings.doormode.password": "Password is required to enter this room"
"navigator.roomsettings.doormode": "Access to this room:"
"navigator.roomsettings.editthumbnail": "Edit navigator icon"
"navigator.roomsettings.flatctrls.caption": "%cnt% users have rights to this room"
"navigator.roomsettings.flatctrls.info": "Choose users from the list above and then click \"
"navigator.roomsettings.flatctrls.limitinfo": "Showing first %cnt% users, most recently added users first."
"navigator.roomsettings.floor": "Floor"
"navigator.roomsettings.floor_thickness.normal": "Normal floors"
"navigator.roomsettings.floor_thickness.thick": "Thick floors"
"navigator.roomsettings.floor_thickness.thin": "Thin floors"
"navigator.roomsettings.floor_thickness.thinnest": "Thinnest floors"
"navigator.roomsettings.give_rights_friend": "Give rights to a friend"
"navigator.roomsettings.give_rights_user": "Give rights to a user in room"
"navigator.roomsettings.hide_walls": "Hide room walls (HC only)"
"navigator.roomsettings.invalidconfirm": "The passwords don't match"
"navigator.roomsettings.moderation.all": "All users"
"navigator.roomsettings.moderation.ban.header": "Who can ban:"
"navigator.roomsettings.moderation.banned.users": "Banned Users"
"navigator.roomsettings.moderation.header": "Choose the moderation settings that you want for this room:"
"navigator.roomsettings.moderation.kick.header": "Who can kick:"
"navigator.roomsettings.moderation.mute.header": "Who can mute:"
"navigator.roomsettings.moderation.none": "None"
"navigator.roomsettings.moderation.rights": "Users with rights"
"navigator.roomsettings.moderation.unban": "Unban"
"navigator.roomsettings.modify_wall_floor_paper": "Floor and Wall style"
"navigator.roomsettings.moresettings": "More Settings"
"navigator.roomsettings.no_room": "You need to be in the room to modify this."
"navigator.roomsettings.nonuserchoosabletag": "Reserved for staff use"
"navigator.roomsettings.password": "Password for the room:"
"navigator.roomsettings.passwordconfirm": "Re-type password:"
"navigator.roomsettings.passwordismandatory": "You must enter a valid password"
"navigator.roomsettings.pets": "Pet Settings"
"navigator.roomsettings.remove_rights": "Remove rights"
"navigator.roomsettings.removeallflatctrls": "Remove all"
"navigator.roomsettings.rights.no_room": "You need to enter the room to modify rights!"
"navigator.roomsettings.roomaccess.caption": "Room Access"
"navigator.roomsettings.roomaccess.guild.caption": "Group home room is always open!"
"navigator.roomsettings.roomaccess.guild.disclaimer": "Group members can always enter base room even if the room is password protected or required doorbell."
"navigator.roomsettings.roomaccess.guild.info": "This room is a group home room. Access to this room cannot be restricted. Welcome all!"
"navigator.roomsettings.roomaccess.info": "Select access rights for the room. Open means everyone can enter; Locked restricts access to Habbos with a password; Private means Habbos have to ring your doorbell and wait to be let in."
"navigator.roomsettings.roomfilter.addword": "Add"
"navigator.roomsettings.roomfilter.removeword": "Remove"
"navigator.roomsettings.roomfilter": "Room Filter"
"navigator.roomsettings.roominfo": "Room info"
"navigator.roomsettings.roomname": "Room:"
"navigator.roomsettings.roomnameismandatory": "You must enter a name for your room"
"navigator.roomsettings.save": "Save settings"
"navigator.roomsettings.tab.1": "Basic"
"navigator.roomsettings.tab.2": "Access"
"navigator.roomsettings.tab.3": "Rights"
"navigator.roomsettings.tab.4": "Vip/Chat"
"navigator.roomsettings.tab.5": "ModTool"
"navigator.roomsettings.toadvancedsettings": "Advanced settings"
"navigator.roomsettings.tobasicsettings": "Basic settings"
"navigator.roomsettings.toomanycharacters": "Too long"
"navigator.roomsettings.trade_allowed": "Everyone can trade"
"navigator.roomsettings.trade_not_allowed": "Trading not allowed"
"navigator.roomsettings.trade_not_with_Controller": "Room owners and users with rights"
"navigator.roomsettings.unacceptablewords": "Unacceptable words!"
"navigator.roomsettings.vip.caption": "HC Extras"
"navigator.roomsettings.vip.info": "Customize your walls and floors! You can choose whether or not the walls of your room are visible, and how thick the walls and floors are."
"navigator.roomsettings.vip_settings": "HC Settings"
"navigator.roomsettings.wall": "Wall"
"navigator.roomsettings.wall_thickness.normal": "Normal walls"
"navigator.roomsettings.wall_thickness.thick": "Thick walls"
"navigator.roomsettings.wall_thickness.thin": "Thin walls"
"navigator.roomsettings.wall_thickness.thinnest": "Thinnest walls"
"navigator.roomsettings.wallfloor": "Wall & Floor"
"navigator.roomsettings": "Room settings"
"navigator.search.info": "Type your search words here..."
"navigator.search.returned.no.results": "No rooms found"
"navigator.search.tags": "...or select tag below"
"navigator.searchcode.title.campaign_target": "Rooms In Current Campaigns"
"navigator.searchcode.title.categories": "All Categories"
"navigator.searchcode.title.eventcategory__10": "Jobs"
"navigator.searchcode.title.eventcategory__11": "Group Events"
"navigator.searchcode.title.eventcategory__1": "Hottest Events"
"navigator.searchcode.title.eventcategory__2": "Parties & Music"
"navigator.searchcode.title.eventcategory__3": "Role Play"
"navigator.searchcode.title.eventcategory__4": "Help Desk"
"navigator.searchcode.title.eventcategory__5": "Trading"
"navigator.searchcode.title.eventcategory__6": "Games"
"navigator.searchcode.title.eventcategory__7": "Debates & Discussions"
"navigator.searchcode.title.eventcategory__8": "Grand Openings"
"navigator.searchcode.title.eventcategory__9": "Friending"
"navigator.searchcode.title.favorites": "My Favorite Rooms"
"navigator.searchcode.title.friend_finding": "Friend Finding Rooms"
"navigator.searchcode.title.friends_rooms": "My Friends' Rooms"
"navigator.searchcode.title.groups": "Groups"
"navigator.searchcode.title.highest_score": "Top Rated Rooms"
"navigator.searchcode.title.history": "My Room Visit History"
"navigator.searchcode.title.history_freq": "Frequently Visited Rooms"
"navigator.searchcode.title.hotel_view": "Hotel"
"navigator.searchcode.title.metadata": "Related Rooms"
"navigator.searchcode.title.my": "My Rooms"
"navigator.searchcode.title.my_groups": "My Groups"
"navigator.searchcode.title.myworld_view": "My World"
"navigator.searchcode.title.new_ads": "New Events"
"navigator.searchcode.title.official": "Public Rooms"
"navigator.searchcode.title.popular": "Most Popular Rooms"
"navigator.searchcode.title.query": "Text Search"
"navigator.searchcode.title.recommended": "Recommended For You"
"navigator.searchcode.title.staffpicks": "Staff Picks"
"navigator.searchcode.title.top_promotions": "Top Promotions"
"navigator.searchcode.title.with_friends": "Rooms with my friends"
"navigator.searchcode.title.with_rights": "Rooms Where I Have Rights"
"navigator.searchusers": "Search users"
"navigator.show.more": "show more"
"navigator.staffpicks.pick": "Add to staff picked rooms"
"navigator.staffpicks.unpick": "Remove from staff picked rooms"
"navigator.tab.1": "Everyone"
"navigator.tab.2": "Me"
"navigator.tab.3": "Friends"
"navigator.tab.4": "Search"
"navigator.tab.categories": "Categories"
"navigator.tab.events": "Promoted"
"navigator.tab.me": "Me"
"navigator.tab.rooms": "Rooms"
"navigator.tab.search": "Search"
"navigator.tab.special": "Public"
"navigator.tags": "Tags"
"navigator.tagsearchresults": "Found %room_count% rooms matching %tag_name%"
"navigator.textsearchresults": "Found %room_count% rooms"
"navigator.thumbeditor.bgtab": "Background image"
"navigator.thumbeditor.caption.bg": "Select background image"
"navigator.thumbeditor.caption.obj": "Select image for the top"
"navigator.thumbeditor.caption.top": "Select image for the top"
"navigator.thumbeditor.caption": "Edit Navigator room icon"
"navigator.thumbeditor.nextobj": "Next"
"navigator.thumbeditor.objtab": "Icons"
"navigator.thumbeditor.prevobj": "Prev"
"navigator.thumbeditor.save": "Save"
"navigator.thumbeditor.selectpos": "Define place:"
"navigator.thumbeditor.toptab": "Top layer"
"navigator.thumbnail.camera.success": "Your thumbnail has been saved! It may take a while before it's visible for other habbos, so please be patient."
"navigator.thumbnail.camera.title.cancel": "Cancel"
"navigator.thumbnail.camera.title.capture": "Capture"
"navigator.thumbnail.camera.title": "Thumbnail Camera"
"navigator.title.is.busy": "Navigator - Loading ...."
"navigator.title": "Navigator"
"navigator.tohotelview.tooltip": "Exit current room."
"navigator.tooltip.add.saved.search": "Add to saved searches"
"navigator.tooltip.back": "Back to previous results"
"navigator.tooltip.category.collapse": "Collapse category"
"navigator.tooltip.category.expand": "Expand category"
"navigator.tooltip.category.show.more": "Show more results in this category"
"navigator.tooltip.create.room": "Create a new room!"
"navigator.tooltip.favourite": "Add to or remove from favorite rooms"
"navigator.tooltip.filter.input": "Filter rooms by..."
"navigator.tooltip.filter.type": "Filter type"
"navigator.tooltip.go.to.lifted.room": "Go visit this room"
"navigator.tooltip.go.to.room": "Go to room"
"navigator.tooltip.groupinfo.owner": "Group name"
"navigator.tooltip.left.show.hide": "Toggle visibility of the left panel"
"navigator.tooltip.open.saved.search": "Search with saved parameters"
"navigator.tooltip.promote.room": "Buy events for your rooms"
"navigator.tooltip.random.room": "Take me to a random room in Habbo!"
"navigator.tooltip.remove.saved.search": "Remove saved search"
"navigator.tooltip.room.info": "Open room info"
"navigator.tooltip.roominfo.owner": "Room owner"
"navigator.tooltip.rows": "List"
"navigator.tooltip.select.tab": "A view to the different rooms in Habbo Hotel"
"navigator.tooltip.tiles": "Thumbnails"
"navigator.toplevelview.categories": "All Categories"
"navigator.toplevelview.hotel_view": "All Rooms"
"navigator.toplevelview.myworld_view": "My World"
"navigator.toplevelview.official_view": "Public"
"navigator.toplevelview.roomads_view": "Events"
"navigator.tradesettings": "Trade Settings"
"navigator.undofavouritedeletion": "Undo"
